"Time (ps)", "Coul-SR:Water-LIG", "LJ-SR:Water-LIG", "Coul-14:Water-LIG", "LJ-14:Water-LIG", "Coul-SR:LIG-LIG", "LJ-SR:LIG-LIG", "Coul-14:LIG-LIG", "LJ-14:LIG-LIG"
203.000000, -105.937904, -102.523354, 0.000000, 0.000000, -75.119293, -14.011942, -141.492462, 43.751701
204.000000, -141.021500, -92.094688, 0.000000, 0.000000, -68.653770, -16.171146, -152.807922, 46.929794
205.000000, -145.178665, -95.332283, 0.000000, 0.000000, -82.766197, -15.199374, -133.455612, 44.057877
206.000000, -114.774933, -108.609970, 0.000000, 0.000000, -80.787529, -11.047168, -133.518188, 41.946751
207.000000, -112.255791, -101.792274, 0.000000, 0.000000, -70.962814, -16.897846, -151.624146, 45.383301
208.000000, -165.900070, -84.490356, 0.000000, 0.000000, -71.083595, -17.333603, -147.877914, 49.322113
209.000000, -91.194427, -112.440933, 0.000000, 0.000000, -83.386436, -14.479342, -132.143600, 43.073307
210.000000, -139.637177, -116.424652, 0.000000, 0.000000, -75.812271, -21.782375, -143.116257, 42.212116
211.000000, -119.062431, -89.883072, 0.000000, 0.000000, -80.488731, -16.203661, -143.841049, 44.291428
212.000000, -127.337334, -106.069191, 0.000000, 0.000000, -75.044281, -17.534157, -147.712585, 46.649220
213.000000, -94.827583, -97.208344, 0.000000, 0.000000, -80.732033, -20.485004, -138.766174, 42.173672
214.000000, -150.006760, -58.129955, 0.000000, 0.000000, -75.039551, -12.349289, -147.406631, 47.550419
215.000000, -125.980713, -86.894272, 0.000000, 0.000000, -83.692200, -11.554990, -134.797302, 47.858524
216.000000, -128.846680, -104.977196, 0.000000, 0.000000, -80.485199, -13.004830, -138.957687, 42.010822
217.000000, -102.957298, -87.039207, 0.000000, 0.000000, -76.670975, -13.754276, -146.092041, 44.804024
218.000000, -112.035423, -105.040581, 0.000000, 0.000000, -87.756813, -4.854369, -132.548492, 50.424332
219.000000, -139.042648, -90.525574, 0.000000, 0.000000, -85.675453, -12.426835, -137.423325, 44.207905
220.000000, -95.651268, -111.814537, 0.000000, 0.000000, -75.130562, -14.925994, -144.932281, 50.978493
221.000000, -85.282784, -104.337990, 0.000000, 0.000000, -81.335007, -10.355664, -139.869156, 48.391094
222.000000, -116.514458, -90.290092, 0.000000, 0.000000, -83.595833, -15.041904, -137.230606, 42.654800
223.000000, -120.799667, -86.461533, 0.000000, 0.000000, -83.921227, -5.203261, -130.859695, 47.915131
224.000000, -132.337250, -93.250488, 0.000000, 0.000000, -84.038109, -16.840000, -141.822495, 45.236511
225.000000, -107.802246, -111.669525, 0.000000, 0.000000, -76.656647, -12.352788, -141.818298, 45.671497
226.000000, -120.335403, -111.955276, 0.000000, 0.000000, -78.546967, -10.395699, -145.630463, 43.673100
227.000000, -86.880569, -112.814003, 0.000000, 0.000000, -80.524506, -15.314227, -144.542130, 49.314411
228.000000, -117.970879, -118.267838, 0.000000, 0.000000, -73.185364, -13.762933, -147.053635, 46.212563
229.000000, -151.049530, -91.984428, 0.000000, 0.000000, -84.247307, -8.292002, -133.666946, 46.418892
230.000000, -93.360863, -108.054863, 0.000000, 0.000000, -77.087288, -15.670672, -142.427490, 44.996391
231.000000, -91.315559, -92.653435, 0.000000, 0.000000, -89.433113, -14.381476, -134.381577, 42.886780
232.000000, -75.543068, -122.054939, 0.000000, 0.000000, -90.329185, -11.966781, -137.727463, 45.211700
233.000000, -123.392807, -89.328705, 0.000000, 0.000000, -79.530853, -13.476398, -138.558044, 44.254757
234.000000, -109.734650, -121.337799, 0.000000, 0.000000, -78.470581, -16.587767, -146.408356, 49.526863
235.000000, -120.330719, -96.267715, 0.000000, 0.000000, -83.623764, -17.151941, -134.385468, 45.832184
236.000000, -129.324020, -89.066933, 0.000000, 0.000000, -77.693825, -11.497389, -141.242233, 45.065128
237.000000, -89.318977, -94.375237, 0.000000, 0.000000, -74.670868, -18.736868, -143.870956, 40.378403
