"Time (ps)", "Coul-SR:Water_and_ions-LIG", "LJ-SR:Water_and_ions-LIG", "Coul-14:Water_and_ions-LIG", "LJ-14:Water_and_ions-LIG", "Coul-SR:LIG-LIG", "LJ-SR:LIG-LIG", "Coul-14:LIG-LIG", "LJ-14:LIG-LIG"
158.000000, -295.924194, -189.800613, 0.000000, 0.000000, 286.124237, -48.686371, -647.562378, 96.792656
159.000000, -300.262085, -206.647476, 0.000000, 0.000000, 284.945557, -31.485502, -645.955505, 93.401855
160.000000, -348.147949, -142.833496, 0.000000, 0.000000, 292.213684, -51.255497, -648.705444, 97.501564
161.000000, -266.066864, -192.412857, 0.000000, 0.000000, 300.167358, -34.676353, -672.984680, 110.961479
162.000000, -231.694351, -210.695953, 0.000000, 0.000000, 284.103973, -36.766792, -648.823792, 104.934845
163.000000, -244.526428, -186.387283, 0.000000, 0.000000, 293.573914, -27.988525, -656.719482, 109.519371
164.000000, -306.856628, -173.441086, 0.000000, 0.000000, 286.292755, -41.140648, -646.580444, 94.918701
165.000000, -289.627747, -140.659271, 0.000000, 0.000000, 279.667938, -47.890011, -641.051392, 93.334808
166.000000, -283.898560, -193.805939, 0.000000, 0.000000, 292.793121, -44.613647, -657.753845, 103.961624
167.000000, -258.856018, -203.714310, 0.000000, 0.000000, 285.023865, -27.355728, -647.772583, 99.489883
168.000000, -276.997864, -203.793228, 0.000000, 0.000000, 283.940643, -17.982552, -638.683350, 103.224693
169.000000, -251.939285, -215.293701, 0.000000, 0.000000, 279.798859, -25.942404, -646.657166, 111.230515
170.000000, -334.477295, -160.406342, 0.000000, 0.000000, 289.621765, -23.348923, -642.177612, 104.254356
171.000000, -262.604462, -189.103683, 0.000000, 0.000000, 286.291473, -32.705330, -655.979065, 109.452789
172.000000, -241.824677, -203.883331, 0.000000, 0.000000, 295.693481, -45.161758, -660.443848, 106.158478
173.000000, -330.159607, -174.812195, 0.000000, 0.000000, 287.606964, -45.306667, -655.785095, 98.561478
174.000000, -237.611069, -170.212250, 0.000000, 0.000000, 287.308258, -34.974380, -654.000732, 116.472733
175.000000, -285.060059, -207.424545, 0.000000, 0.000000, 297.628143, -13.108546, -654.328125, 108.133759
176.000000, -303.645142, -183.657288, 0.000000, 0.000000, 294.092102, -47.507107, -655.289001, 100.658501
177.000000, -292.506439, -188.122314, 0.000000, 0.000000, 291.561523, -25.903143, -657.945618, 98.988121
178.000000, -241.708435, -193.342377, 0.000000, 0.000000, 283.172791, -23.493958, -646.835266, 103.458740
179.000000, -269.135101, -212.803375, 0.000000, 0.000000, 290.256134, -37.444485, -653.278564, 95.922142
180.000000, -335.073456, -194.283463, 0.000000, 0.000000, 289.041168, -30.054813, -651.902039, 102.872726
181.000000, -269.498413, -189.682190, 0.000000, 0.000000, 294.230194, -44.238449, -657.930237, 105.497726
182.000000, -281.892090, -186.430161, 0.000000, 0.000000, 286.214264, -23.877890, -647.782471, 101.422745
183.000000, -338.175110, -175.839294, 0.000000, 0.000000, 298.581268, -30.192629, -657.465759, 97.579720
184.000000, -323.057465, -169.952576, 0.000000, 0.000000, 285.312927, -36.118484, -648.313843, 108.987015
185.000000, -332.657806, -170.921967, 0.000000, 0.000000, 293.086945, -38.382736, -653.069275, 107.074532
186.000000, -292.240173, -187.582962, 0.000000, 0.000000, 307.005676, -24.832142, -665.630981, 99.497101
187.000000, -290.100647, -190.102753, 0.000000, 0.000000, 279.303741, -32.689075, -642.190308, 100.386192
188.000000, -288.920685, -197.549088, 0.000000, 0.000000, 300.249359, -40.832863, -656.893066, 97.744492
189.000000, -301.969971, -177.888611, 0.000000, 0.000000, 288.039886, -41.710102, -650.084167, 98.774384
190.000000, -327.710938, -174.781250, 0.000000, 0.000000, 297.290649, -26.926245, -656.863953, 102.595955
191.000000, -281.181549, -201.754105, 0.000000, 0.000000, 288.723938, -36.565090, -654.027588, 105.435379
192.000000, -338.930420, -192.449631, 0.000000, 0.000000, 295.562469, -26.245062, -653.931030, 99.721909
193.000000, -293.937592, -193.389297, 0.000000, 0.000000, 299.752625, -21.645065, -660.428833, 103.316299
194.000000, -282.262695, -210.346802, 0.000000, 0.000000, 300.305298, -33.851898, -659.803772, 98.829033
195.000000, -316.453552, -199.070724, 0.000000, 0.000000, 291.079193, -27.059425, -654.490906, 108.805687
196.000000, -308.023224, -202.420380, 0.000000, 0.000000, 298.756378, -32.506737, -657.782776, 104.218178
197.000000, -312.131897, -206.475845, 0.000000, 0.000000, 298.573273, -35.960354, -658.252747, 108.213081
198.000000, -303.130066, -192.664398, 0.000000, 0.000000, 292.481934, -34.733803, -658.601990, 102.480553
199.000000, -275.373352, -199.443375, 0.000000, 0.000000, 296.329834, -32.620171, -663.235352, 106.595520
200.000000, -252.451401, -184.850845, 0.000000, 0.000000, 292.717499, -34.186787, -660.469727, 101.606209
201.000000, -255.297256, -217.048523, 0.000000, 0.000000, 297.259827, -41.282566, -652.472778, 102.930634
202.000000, -323.403717, -187.866531, 0.000000, 0.000000, 297.461334, -22.448397, -652.733826, 99.314354
203.000000, -267.665253, -199.424713, 0.000000, 0.000000, 299.567657, -41.400620, -655.463074, 105.612930
204.000000, -279.483521, -195.424377, 0.000000, 0.000000, 282.691620, -33.154942, -649.386963, 106.682426
205.000000, -323.086975, -198.459824, 0.000000, 0.000000, 295.318573, -13.418025, -652.214783, 106.493187
206.000000, -266.120850, -190.654221, 0.000000, 0.000000, 291.752106, -35.089809, -654.583740, 95.050621
207.000000, -284.371582, -192.833267, 0.000000, 0.000000, 308.397827, -34.395016, -660.917114, 109.481842
208.000000, -311.732208, -180.932404, 0.000000, 0.000000, 302.609253, -23.029858, -663.799927, 103.378296
209.000000, -294.890076, -198.488327, 0.000000, 0.000000, 293.711670, -38.098438, -658.048218, 101.270248
210.000000, -270.609894, -205.022018, 0.000000, 0.000000, 297.873596, -33.256771, -660.016663, 103.474487
211.000000, -338.142456, -190.279510, 0.000000, 0.000000, 296.982452, -43.005409, -662.910889, 99.245354
212.000000, -327.192444, -186.092728, 0.000000, 0.000000, 299.961945, -42.028130, -660.244385, 101.631447
213.000000, -304.897614, -210.176071, 0.000000, 0.000000, 293.668213, -41.728909, -661.212769, 100.851852
214.000000, -303.710876, -196.029465, 0.000000, 0.000000, 294.901733, -40.165283, -651.930786, 97.536880
215.000000, -284.549500, -172.575928, 0.000000, 0.000000, 294.307098, -36.555161, -657.385559, 99.348785
216.000000, -334.303833, -185.960602, 0.000000, 0.000000, 297.597382, -35.380325, -658.202820, 110.938301
217.000000, -285.585236, -207.220779, 0.000000, 0.000000, 293.448334, -35.408375, -656.722595, 101.184380
218.000000, -294.589996, -195.160294, 0.000000, 0.000000, 295.756470, -21.604897, -654.117004, 107.900330
219.000000, -321.561096, -168.645721, 0.000000, 0.000000, 299.401062, -40.152050, -659.160645, 103.107681
220.000000, -261.042816, -222.158279, 0.000000, 0.000000, 296.239929, -41.423222, -661.005493, 100.992920
221.000000, -318.409058, -197.965027, 0.000000, 0.000000, 303.533752, -45.830727, -658.536987, 100.183716
222.000000, -302.453583, -210.656525, 0.000000, 0.000000, 298.964813, -34.937866, -655.797607, 95.900963
223.000000, -313.151581, -201.855087, 0.000000, 0.000000, 295.429504, -33.908501, -655.891663, 98.956284
224.000000, -275.229645, -187.198425, 0.000000, 0.000000, 281.820984, -45.414536, -649.232849, 99.006165
225.000000, -265.731964, -215.441879, 0.000000, 0.000000, 284.358429, -50.536560, -649.869873, 101.715309
226.000000, -324.160767, -206.412766, 0.000000, 0.000000, 283.003082, -22.981499, -649.578369, 112.703117
227.000000, -305.584442, -207.426819, 0.000000, 0.000000, 281.427032, -36.685139, -646.727478, 99.463547
228.000000, -346.876068, -159.942352, 0.000000, 0.000000, 291.155731, -34.151394, -655.739197, 100.648849
229.000000, -290.987305, -196.814651, 0.000000, 0.000000, 296.766418, -39.050400, -656.257568, 94.162529
230.000000, -343.535828, -183.509979, 0.000000, 0.000000, 283.307312, -42.963902, -650.201233, 96.374054
231.000000, -338.089020, -173.516052, 0.000000, 0.000000, 286.330994, -33.535870, -652.043823, 97.220390
232.000000, -321.500336, -200.128616, 0.000000, 0.000000, 286.918274, -41.754417, -655.545837, 104.583740
233.000000, -299.645264, -209.125961, 0.000000, 0.000000, 285.653717, -42.397812, -650.472168, 101.767929
234.000000, -295.158966, -207.677704, 0.000000, 0.000000, 285.784149, -43.795189, -654.152466, 101.312729
235.000000, -348.466583, -201.312454, 0.000000, 0.000000, 290.851471, -29.893070, -650.219482, 95.616249
236.000000, -309.438446, -182.371933, 0.000000, 0.000000, 291.490509, -30.559416, -653.088623, 105.237228
237.000000, -278.577850, -180.177567, 0.000000, 0.000000, 287.748810, -44.778381, -654.058472, 92.766632
238.000000, -306.190643, -190.160904, 0.000000, 0.000000, 288.340149, -36.721394, -647.995789, 100.413048
239.000000, -295.756256, -191.432297, 0.000000, 0.000000, 292.330750, -33.027740, -652.112549, 103.934464
240.000000, -321.674225, -168.717682, 0.000000, 0.000000, 288.047760, -26.871775, -649.447571, 102.147308
241.000000, -326.026184, -178.276199, 0.000000, 0.000000, 295.527832, -29.641611, -655.269104, 106.391121
242.000000, -350.262390, -201.082291, 0.000000, 0.000000, 287.735687, -26.613035, -648.525879, 107.125893
243.000000, -311.241638, -190.220078, 0.000000, 0.000000, 276.578064, -42.899277, -641.000488, 102.325447
244.000000, -303.670837, -190.428848, 0.000000, 0.000000, 286.155670, -29.787388, -649.497498, 97.950935
245.000000, -289.838104, -191.537399, 0.000000, 0.000000, 282.225677, -39.291363, -649.739563, 93.119728
246.000000, -273.213867, -219.389679, 0.000000, 0.000000, 285.029938, -35.027676, -646.356384, 102.557976
247.000000, -294.382233, -191.186035, 0.000000, 0.000000, 284.315094, -39.068832, -645.582397, 96.707253
248.000000, -213.193375, -213.586716, 0.000000, 0.000000, 287.228241, -28.139021, -647.954285, 97.030998
249.000000, -293.812103, -175.581543, 0.000000, 0.000000, 297.351074, -33.226147, -660.700989, 102.779793
